id,name,website,category,sub_category,location,region,country,description,denomination_focus,capacity_notes,key_features,accessibility,contact_email,contact_phone
RA001,Lee Abbey Devon,https://leeabbeydevon.org.uk/,Retreat Centre,Conference/Retreat,Lynton; Devon,South West,UK,Retreat and conference centre in North Devon run by an international Christian community. Offers themed weeks; outdoor/walking holidays; and community living experience.,Anglican/Interdenominational,Large (100+ guests),International community; Coastal location; Walking weeks; Youth programmes,Partial,[email protected],01598 752621
RA002,Capernwray Hall,https://capernwray.org/holidays/,Retreat Centre,Holiday Centre,Carnforth; Lancashire,North West,UK,Christian holiday centre offering Christ-centred breaks in stunning Lancashire countryside near the Lake District and Yorkshire Dales.,Interdenominational,Large,Bible teaching; Beautiful grounds; Near Lake District; Seasonal holidays (Easter/Christmas/Summer),,, 
RA003,Christian Endeavour Holiday Centres (Beechwood Court),https://www.cehc.org.uk/,Holiday Centre,Catered Holidays,Conwy; North Wales,Wales,UK,Holiday centre offering themed weeks; family holidays; and seniors breaks. Includes Holiday Support Fund for those needing financial help.,Interdenominational,Medium,Seniors programme; Holiday Support Fund; Themed weeks; North Wales coast,,01492 593405, 
RA004,Christian Endeavour Holiday Centres (The Pleasaunce),https://www.cehc.org.uk/,Holiday Centre,Catered Holidays,Overstrand; Norfolk,East of England,UK,Holiday centre in Norfolk offering themed weeks; family holidays; and seniors breaks with full board accommodation.,Interdenominational,Medium,Seniors programme; Norfolk coast; Full board; Themed weeks,,, 
RA005,The Wellspring Ledbury,https://www.thewellspring.uk/,Retreat Centre,Day Retreat/Events,Ledbury; Herefordshire,West Midlands,UK,Christian day retreat and events centre on the southern edge of the Malvern Hills AONB. Also offers Wellspring Cottage for self-catering retreats.,Interdenominational,Small/Medium,Malvern Hills AONB; Day retreats; Self-catering cottage; Events,[email protected],01531 635727
RA006,Scargill House,https://www.scargillmovement.org/,Retreat Centre,Conference/Retreat,Skipton; North Yorkshire,Yorkshire,UK,Christian retreat and conference centre in the Yorkshire Dales offering themed breaks; community living; and quiet days.,Interdenominational,Medium,Yorkshire Dales; Community living; Themed breaks,,, 
RA007,Ashburnham Place,https://www.ashburnham.org.uk/,Retreat Centre,Conference/Retreat,Battle; East Sussex,South East,UK,Christian conference and retreat centre set in 220 acres of parkland and gardens in East Sussex.,Interdenominational,Large,220 acres; Conference facilities; Prayer ministry,,, 
RA008,Launde Abbey,https://www.launde.org.uk/,Retreat Centre,Retreat House,East Norton; Leicestershire,East Midlands,UK,Anglican retreat house offering guided and individually guided retreats; quiet days; and conference facilities.,Anglican/Interdenominational,Medium,Historic building; Guided retreats; Quiet days,,, 
RA009,Ampleforth Abbey,https://www.ampleforth.org.uk/,Retreat Centre,Monastery,York; North Yorkshire,Yorkshire,UK,Benedictine monastery offering hospitality and retreats for individuals and groups seeking peace and prayer.,Catholic/Benedictine,Medium,Benedictine community; Historic monastery; Peaceful setting,,, 
RA010,Worth Abbey,https://www.worthabbey.net/,Retreat Centre,Monastery,Crawley; West Sussex,South East,UK,Catholic Benedictine monastery offering retreats; quiet days; and spiritual direction in West Sussex.,Catholic/Benedictine,Medium,Benedictine community; Open Cloister programme,,, 
