id,name,website,category,sub_category,location_base,coverage,description,denomination_focus,key_features,business_model,contact_info
SC001,HolyHols,https://holyhols.co.uk/,Directory/Platform,Holiday Accommodation,UK,UK and beyond,Connects Christian property owners with Christian holidaymakers. Browse listings and find somewhere that feels right.,Interdenominational,Clergy discounts; Christian-owned properties; UK and international listings,Listing directory (property owners list for free or paid),
SC002,Christian House and Church Swap (CHACS),https://www.chacs.co.uk/,Platform,Home/Church Swap,UK,UK and International,UK-based holiday organisation running since 2003 with over 200 registered members. Facilitates home exchanges between Christians globally.,Interdenominational,Home swap; Church swap; 200+ members; Global network; Affordable holidays,Membership subscription,
SC003,Christian Holiday Guide (Premier),https://growwithpremier.com/brands/christian-holiday-guide/,Directory,Holiday Guide,UK,UK,The go-to space for Christians seeking faith-based holiday experiences and accommodation. Part of Premier Christian media group.,Interdenominational,Part of Premier media network; Holiday rentals; Retreats; Tour operators,Advertising/listing fees from providers,
SC004,OSCAR Holiday Directory,https://oscar.org.uk/resources/practical/accommodation/uk-accommodation/holidays-uk,Directory,Comprehensive Directory,UK,UK,128+ resources covering hotels; B&Bs; self-catering; camping; retreat houses; organised holidays; and festivals for Christian workers.,Interdenominational,Comprehensive categories; Christian worker focus; Free to browse; 128+ listings,Membership/sponsorship,
SC005,Christian Residential Network (CRNet),https://crnet.org.uk/,Network/Directory,Residential Venues,UK,UK,Association representing over 200 Christian residential venues; conference centres; and camps across the UK. Includes holiday search.,Interdenominational,200+ member venues; Holiday search tool; Conference centres; Camps,Membership network,
SC006,The Retreat Association,https://www.retreats.org.uk/,Directory,Retreat Centres,UK,UK and Ireland,Directory of retreat centres across the UK with interactive Google map. Lists upcoming retreats and retreat centre profiles.,Interdenominational,Interactive map; Retreat centre directory; Upcoming retreats listing,Membership/directory listing,
SC007,Shunem Trust,https://shunemtrust.org.uk/,Charity/Provider,Holiday Accommodation,UK,UK,Provides free or subsidised holiday accommodation for Christian workers; missionaries; and clergy needing rest and refreshment.,Interdenominational,Free/subsidised holidays; For Christian workers; Charity-funded,Charitable trust (donations),
SC008,Whitefield Christian Trust,https://www.whitefieldchristiantrust.org.uk/,Charity/Provider,Holiday Accommodation,UK,UK,Provides holiday accommodation and support for Christian workers and missionaries.,Interdenominational,For Christian workers; Trust-funded accommodation,Charitable trust (donations),
SC009,Boaters' Christian Fellowship,https://www.boaterschristianfellowship.org.uk/,Network/Directory,Canal/Boating,UK,UK,Network for Christians who enjoy the inland waterways. Includes membership directory and organises canal boat get-togethers.,Interdenominational,Canal boating; Membership directory; Magazine,Membership subscription,
SC010,Caravanners and Campers Christian Fellowship (CCCF),https://www.cccf.org.uk/,Network/Directory,Camping/Caravanning,UK,UK,Fellowship organising rallies across the UK where believers meet in tents and caravans for fellowship and worship.,Interdenominational,Camping rallies; Motorhome friendly; Regional groups,Membership subscription,
