id,name,website,category,sub_category,location_base,destinations_served,description,denomination_focus,target_audience,key_features,contact_email,contact_phone,verified
TO001,Richmond Holidays,https://www.richmond-holidays.com/,Tour Operator,Beach/Ski/Activity,UK,Greece; France (Alps); Spain,Quality Christian holidays offering ski weeks; beach resorts; walking weeks; and solo traveller programmes with dedicated ministry staff; worship and prayer.,Interdenominational,Families; Singles; Couples; Walking enthusiasts,Solo traveller weeks; Walking holidays; Ski holidays; Ministry staff on site,,, 
TO002,Oak Hall Expeditions,https://www.oakhall.co.uk/,Tour Operator,Activity/Adventure,Otford; Kent; UK,Europe; Worldwide,Affordable community-focused Christian holidays including ski trips; summer expeditions; and adventure travel with Bible teaching and fellowship.,Interdenominational,Young adults; Families; Groups,Bible sessions; Affordable pricing; Community focus; Adventure travel,,, 
TO003,McCabe Pilgrimages,https://www.mccabe-travel.co.uk/,Tour Operator,Pilgrimage,UK,Holy Land; Jordan; Turkey; Greece; Italy; Egypt,UK's leading operator of tours and pilgrimages to the Holy Land and other biblical/historical sites. Also offers fellowship tours.,Anglican/Interdenominational,Church groups; Individuals; Couples,Expert guides; Holy Land specialists; Fellowship tours; Cultural immersion,,, 
TO004,Tangney Tours,https://www.tangney-tours.com/,Tour Operator,Pilgrimage,UK,Lourdes; Fatima; Rome; Holy Land; Medjugorje; Poland,UK's leading Catholic pilgrimage operator specialising in group pilgrimages to major Catholic shrines worldwide.,Catholic,Catholic parishes; Groups; Individuals,Lourdes specialists; Assisted pilgrimage; Group organisers travel free,,, 
TO005,All Saints Travel,https://www.allsaintstravel.co.uk/,Tour Operator,Pilgrimage,UK,Holy Land; South Korea; South East Asia; Europe,Specialises in Christian pilgrimages for groups wanting to travel the world. Unique expertise in South Korea and SE Asia pilgrimages.,Interdenominational,Church groups; Clergy,South Korea/SE Asia specialism; Bespoke group itineraries,,, 
TO006,Christian Fellowship Tours,https://www.christianfellowshiptours.com/,Tour Operator,Pilgrimage/Heritage,UK,UK (Celtic); Ireland; Scotland; Europe; Holy Land,Offers guided pilgrimage tours including UK Celtic pilgrimages exploring early Christian missionaries and saints.,Interdenominational,History enthusiasts; Church groups,Celtic pilgrimage specialism; Heritage focus,,, 
TO007,Worldwide Christian Travel,https://www.worldwidechristiantravel.com/,Tour Operator,Pilgrimage/Tours,Bristol; UK,Holy Land; Europe; Worldwide,Organises group tours and pilgrimages worldwide. Long-established Bristol-based operator (Company No. 02314005).,Interdenominational,Church groups; Individuals,Group tour specialists; Wide destination range,,, 
TO008,Sonas Christian Holidays,https://sonaschristianholidays.com/,Tour Operator,Leisure/Beach,Scottish Highlands; UK,Various destinations,Faith-based holiday company offering membership plans for Christians interested in group holidays with a spiritual dimension.,Interdenominational,Families; Couples; Singles,Membership model; Scottish Highlands base,,, 
TO009,Gold Hill Holidays,https://goldhillholidays.co.uk/,Tour Operator,Activity/Ski,UK,Switzerland; UK; Europe,Christian holiday organisation providing fun; outdoor; affordable and exciting holidays for over thirty years. Skiing and activity holidays.,Interdenominational,Young adults; Families; Active travellers,Ski holidays; Mountain huts; Via Ferrata; Daily worship and Bible teaching,,, 
TO010,JC Journeys,https://www.jcjourneys.com/,Tour Operator,Pilgrimage/Heritage,UK,Holy Land; Italy; Greece; Turkey,Christian travel company offering guided pilgrimages and heritage tours to biblical lands.,Interdenominational,Church groups; Individuals,Biblical heritage focus; Guided tours,,, 
TO011,Journeying,https://www.journeying.co.uk/,Tour Operator,Walking Holidays,UK,Europe (off-the-beaten-track),Takes small groups of up to 10 people on guided walking tour holidays in an informal Christian ambience to off-the-beaten-track destinations.,Interdenominational,Walkers; Small groups; Active travellers,Small group max 10; Off-the-beaten-track; Informal Christian ambience,,, 
TO012,Spring Harvest Holidays,https://springharvestholidays.com/,Tour Operator,Family/Beach,UK,France (Le Pas Opton),Independent company (part of Essential Christian family) offering family holiday park experiences in France with Christian programming.,Interdenominational,Families with children,Holiday park; Swimming pools; Kids clubs; Accessible mobile homes,,, 
TO013,Aglow Pilgrimages,https://www.aglowpilgrimages.com/,Tour Operator,Pilgrimage,UK,Holy Land; Lourdes; Fatima; Medjugorje,Pilgrimage operator offering group trips to major Christian shrines with flights from regional UK airports.,Catholic,Catholic parishes; Groups,Regional UK departures; Assisted pilgrimages,,, 
