id,name,website,category,location,region,country,typical_month,duration_days,description,denomination_focus,target_audience,accommodation_type,estimated_attendance
FE001,Spring Harvest,https://www.springharvest.org/,Festival/Conference,Minehead & Skegness (Butlin's),South West / East Midlands,UK,April,5-7,Major cross-denominational Christian conference held at Butlin's resorts. Teaching; worship; kids programmes; and community.,Interdenominational,Families; All ages,Butlin's chalets and hotels,10000+
FE002,Big Church Festival,https://bigchurchfestival.com/,Music Festival,Wiston Estate; West Sussex,South East,UK,August,3,One of the UK's largest Christian events. Music; worship; teaching; family activities. Previously Big Church Day Out.,Interdenominational,All ages; Families; Young adults,Camping; Off-site B&Bs and hotels,20000+
FE003,Keswick Convention,https://www.keswickministries.org/,Bible Convention,Keswick; Lake District,North West,UK,July-August,21 (3 weeks),Three-week Bible teaching convention in the Lake District. Multiple speakers; seminars; and worship.,Evangelical/Interdenominational,Adults; Families,Local hotels; B&Bs; Holiday lets; Camping,12000+
FE004,Greenbelt,https://www.greenbelt.org.uk/,Arts/Faith Festival,Boughton House; Kettering,East Midlands,UK,August,4,Arts; faith; and justice festival. Inclusive and eclectic with talks; music; comedy; and workshops.,Progressive/Interdenominational,All ages; Arts enthusiasts,Camping,10000+
FE005,New Wine,https://www.new-wine.org/,Festival/Conference,Various UK locations,Various,UK,July-August,5-7,Christian festival focused on worship; teaching; and the Holy Spirit. United and Leadership conferences.,Charismatic/Interdenominational,Families; Church leaders,Camping; Glamping,8000+
FE006,David's Tent,https://www.davidstent.net/,Worship Gathering,Charlton Park; Wiltshire,South West,UK,August,4,Leading worship ministry gathering over 5000 believers for continuous worship and prayer.,Charismatic/Interdenominational,Worship enthusiasts; All ages,Camping,5000+
FE007,Creation Fest,https://creationfest.org.uk/,Music Festival,Royal Cornwall Events Centre; Wadebridge,South West,UK,August,4,FREE music festival with faith talks; family fun; skate; and live music in Cornwall.,Interdenominational,Families; Young people; Local community,Camping; Local accommodation,5000+
FE008,Cliff Festival,https://www.cliffcollege.ac.uk/festival,Festival/Conference,Cliff College; Derbyshire,East Midlands,UK,May (Bank Holiday),4,Annual festival at Cliff College running for over a century. Worship; teaching; social events; and activities.,Methodist/Interdenominational,All ages; Families,On-site camping; En-suite rooms,2000+
FE009,Wildfires,https://wildfiresfestival.com/,Festival/Conference,Wiston Estate; West Sussex,South East,UK,July,4,Festival with vision to see revival sparked across the UK. Seminars; worship; and teaching.,Charismatic/Interdenominational,Young adults; Church leaders,Camping,3000+
FE010,The Shift,https://shift-uk.com/,Festival/Gathering,The Leigh; Gloucestershire,South West,UK,July,3,Small-scale Christian gathering on a farm. Intimate worship; prayer; and fellowship.,Interdenominational,Adults; Small groups,Camping; Local accommodation,500-1000
FE011,New Horizon,https://newhorizon.org.uk/,Festival/Conference,Coleraine; Northern Ireland,Northern Ireland,UK,August,7,Major Northern Ireland Christian event with teaching; worship; youth programme; and Mission Hub.,Interdenominational,Families; Young people; Church leaders,Local accommodation; Camping,5000+
FE012,Cedarwood Festival,https://cedarwoodfestival.com/,Music Festival,Thorp Perrow; North Yorkshire,Yorkshire,UK,July,3,3-day Christian music and worship festival in North Yorkshire with vision to unite the body of Christ in the North.,Interdenominational,All ages; Northern Christians,Camping,2000+
